"city","population","MCO","lat","lon","District","state","province","country"
"Jurupa Valley",98842,816,33.9798472,-117.4515754,26,"CA","California","US"
"Riverside",322424,816,33.9824949,-117.374238,26,"CA","California","US"
"Union",55039,817,40.6964878,-74.2698106,29,"NJ","New Jersey","US"
"Hamilton Township",87065,817,40.2113211,-74.6858335,29,"NJ","New Jersey","US"
"Woodbridge Township",99208,817,40.5576045,-74.2845911,29,"NJ","New Jersey","US"
"Elizabeth",126179,817,40.6639916,-74.2107006,29,"NJ","New Jersey","US"
"Alexandria",160035,818,38.8051095,-77.0470229,10,"VA","Virginia","US"
"Arlington",238643,818,38.8903961,-77.0841585,10,"VA","Virginia","US"
"Washington D.C.",672228,818,38.8950368,-77.0365427,10,"DC","District of Columbia","US"
"Bowie",58481,819,38.9424464,-76.7301718,10,"MD","Maryland","US"
"Bethesda",68056,819,38.9846816,-77.0942447,10,"MD","Maryland","US"
"Silver Spring",71452,819,38.9959461,-77.0276231,10,"MD","Maryland","US"
"Waldorf",81410,819,38.6263882,-76.9106581,10,"MD","Maryland","US"
"Towson",59553,820,39.4018513,-76.6023803,10,"MD","Maryland","US"
"Glen Burnie",72891,820,39.1648,-76.6249437,10,"MD","Maryland","US"
"Columbia",103683,820,39.2156213,-76.8582049,10,"MD","Maryland","US"
"Baltimore",585708,820,39.2908816,-76.610759,10,"MD","Maryland","US"
"Charleston",50846,821,38.3505995,-81.6332812,18,"WV","West Virginia","US"
"Scottsdale",241361,822,33.4942189,-111.926018,15,"AZ","Arizona","US"
"Harrisonburg",54215,824,38.4493315,-78.8688833,8,"VA","Virginia","US"
"Richmond",226610,824,37.5385087,-77.43428,8,"VA","Virginia","US"
"Portsmouth",97915,825,36.8320081,-76.297699,8,"VA","Virginia","US"
"Newport News",186247,825,36.9775016,-76.42977,8,"VA","Virginia","US"
"Chesapeake",249422,825,36.7168315,-76.2494453,8,"VA","Virginia","US"
"Virginia Beach",459470,825,36.8496579,-75.9760751,8,"VA","Virginia","US"
"Anchorage",291247,826,61.2163129,-149.894852,23,"AK","Alaska","US"
"Thunder Bay",108359,827,48.406414,-89.259796,19,"ON","Ontario","Canada"
"Regina",215106,827,50.4479733,-104.6158764,19,"SK","Saskatchewan","Canada"
"Winnipeg",663617,827,49.8955367,-97.1384584,19,"MB","Manitoba","Canada"
"Marana",51908,828,32.4483736,-111.211475,15,"AZ","Arizona","US"
"Tucson",542629,828,32.2228765,-110.974847,15,"AZ","Arizona","US"
"Sanford",61051,829,28.8117345,-81.2680223,25,"FL","Florida","US"
"Daytona Beach",64183,829,29.2108147,-81.0228331,25,"FL","Florida","US"
"Palm Coast",68013,829,29.5541432,-81.2207673,25,"FL","Florida","US"
"Deltona",84273,829,28.904843,-81.2273119,25,"FL","Florida","US"
"Bradenton",53662,830,27.4989278,-82.5748194,12,"FL","Florida","US"
"Fort Myers",60531,830,26.640628,-81.8723084,12,"FL","Florida","US"
"Lehigh Acres",132618,830,26.6091509,-81.652407,12,"FL","Florida","US"
"Cape Coral",154305,830,26.5625742,-81.9438802,12,"FL","Florida","US"
"Victoria",65534,832,28.7997547,-97.0064246,17,"TX","Texas","US"
"Edinburg",100243,832,26.3013982,-98.1624501,17,"TX","Texas","US"
"Brownsville",186738,832,25.9024289,-97.4981698,17,"TX","Texas","US"
"Corpus Christi",317863,832,27.7635302,-97.4033191,17,"TX","Texas","US"
"Ocala",60786,833,29.1871986,-82.1400923,25,"FL","Florida","US"
"The Villages",79077,833,28.9269978,-82.0041758,25,"FL","Florida","US"
"Spring Hill",98621,833,28.4635266,-82.5363557,25,"FL","Florida","US"
"Gainesville",116616,833,29.6519684,-82.3249846,25,"FL","Florida","US"
"Castle Rock",73158,834,39.3722552,-104.858682,3,"CO","Colorado","US"
"Centennial",117453,834,39.579155,-104.8769227,3,"CO","Colorado","US"
"Waco",138486,835,31.5491899,-97.1474628,5,"TX","Texas","US"
"Grand Prairie",183372,835,32.7459645,-96.9977846,5,"TX","Texas","US"
"Irving",256684,835,32.8295183,-96.9442177,5,"TX","Texas","US"
"Mansfield",56368,836,32.563487,-97.1420308,5,"TX","Texas","US"
"Arlington",365438,836,32.7355816,-97.1071186,5,"TX","Texas","US"
"Fort Worth",996756,836,32.753177,-97.3327459,5,"TX","Texas","US"
"Waltham",59352,837,42.3762385,-71.2355644,24,"MA","Massachusetts","US"
"Brookline",63191,837,42.332918,-71.1187829,24,"MA","Massachusetts","US"
"Newton",85146,837,42.3370414,-71.2092214,24,"MA","Massachusetts","US"
"Boston",675647,837,42.3554334,-71.060511,24,"MA","Massachusetts","US"
"Spring Valley",215957,838,36.1111405,-115.242865,26,"NV","Nevada","US"
"Enterprise",221831,838,36.0405373,-115.1899298,26,"NV","Nevada","US"
"Niagara Falls",82184,839,43.1065603,-79.0639039,14,"ON","Ontario","Canada"
"St. Catharines",136803,839,43.1579812,-79.2441003,14,"ON","Ontario","Canada"
"Burlington",186948,839,43.3248924,-79.7966835,14,"ON","Ontario","Canada"
"Hamilton",569353,839,43.2560802,-79.8728583,14,"ON","Ontario","Canada"
"Medicine Hat",56997,840,50.04303,-110.679016,19,"AB","Alberta","Canada"
"Lethbridge",83517,840,49.6945782,-112.8331033,19,"AB","Alberta","Canada"
"Red Deer",100418,840,52.2690628,-113.8141464,19,"AB","Alberta","Canada"
"Calgary",1267344,840,51.0456064,-114.057541,19,"AB","Alberta","Canada"
"Sudbury",161531,841,46.49272,-80.991211,14,"ON","Ontario","Canada"
"Richmond Hill",202022,841,43.8801166,-79.4392925,14,"ON","Ontario","Canada"
"Markham",338503,841,43.8563707,-79.3376825,14,"ON","Ontario","Canada"
"Mississauga",717961,841,43.5896231,-79.6443879,14,"ON","Ontario","Canada"
"Bozeman",53293,842,45.6794293,-111.044047,23,"MT","Montana","US"
"Great Falls",60442,842,47.5048851,-111.29189,23,"MT","Montana","US"
"Missoula",73489,842,46.8701049,-113.995267,23,"MT","Montana","US"
"Billings",117116,842,45.7874957,-108.49607,23,"MT","Montana","US"
"Saint John",69895,843,45.2787992,-66.0585188,32,"NB","New Brunswick / Nouveau-Brunswick","Canada"
"Moncton",79470,843,46.0985679,-64.8004265,32,"NB","New Brunswick / Nouveau-Brunswick","Canada"
"St. John's",110525,843,47.5614705,-52.7126162,32,"NL","Newfoundland and Labrador","Canada"
"Halifax",403131,843,44.648618,-63.5859487,32,"NS","Nova Scotia","Canada"
"Drummondville",79258,844,45.8864303,-72.5018764,32,"QC","Québec","Canada"
"Lévis",143414,844,46.8033114,-71.1778792,32,"QC","Québec","Canada"
"Longueuil",254483,844,45.521906,-73.4644578,32,"QC","Québec","Canada"
"Montréal",1762949,844,45.5031824,-73.5698065,32,"QC","Québec","Canada"
"Victoria",91867,845,48.4283182,-123.364953,19,"BC","British Columbia","Canada"
"Delta",108455,845,49.0846258,-123.057938,19,"BC","British Columbia","Canada"
"Richmond",209937,845,49.163168,-123.137414,19,"BC","British Columbia","Canada"
"Vancouver",662248,845,49.2608724,-123.113952,19,"BC","British Columbia","Canada"
"Kamloops",90280,846,50.6758269,-120.339415,19,"BC","British Columbia","Canada"
"Langley Township",132603,846,49.1202942,-122.659331,19,"BC","British Columbia","Canada"
"Coquitlam",148625,846,49.2842958,-122.793281,19,"BC","British Columbia","Canada"
"Surrey",568322,846,49.1913033,-122.849143,19,"BC","British Columbia","Canada"
"Peterborough",81032,848,44.3048009,-78.3199496,14,"ON","Ontario","Canada"
"Whitby",128377,848,43.87982,-78.9421751,14,"ON","Ontario","Canada"
"Oshawa",175383,848,43.8975558,-78.8635324,14,"ON","Ontario","Canada"
"Toronto",2731571,848,43.6534817,-79.3839347,14,"ON","Ontario","Canada"
"Saint-Jérôme",68456,849,45.7780402,-74.0033272,32,"QC","Québec","Canada"
"Repentigny",84285,849,45.7326055,-73.4528307,32,"QC","Québec","Canada"
"Terrebonne",111575,849,45.6951527,-73.6350148,32,"QC","Québec","Canada"
"Laval",438366,849,45.5571125,-73.7211779,32,"QC","Québec","Canada"
"Waterloo",104986,852,43.4652699,-80.5222961,14,"ON","Ontario","Canada"
"Guelph",131794,852,43.5460516,-80.2493276,14,"ON","Ontario","Canada"
"Kitchener",233222,852,43.451291,-80.4927815,14,"ON","Ontario","Canada"
"London",422324,852,42.9832406,-81.243372,14,"ON","Ontario","Canada"
"Lee's Summit",96076,853,38.9107156,-94.3821295,3,"MO","Missouri","US"
"Olathe",135473,853,38.8838856,-94.81887,3,"KS","Kansas","US"
"Overland Park",188966,853,38.9742502,-94.6851702,3,"KS","Kansas","US"
"Wichita",357698,853,37.6922361,-97.3375448,3,"KS","Kansas","US"
"Fort McMurray",66573,854,56.7291997,-111.3885221,19,"AB","Alberta","Canada"
"Sherwood Park",73000,854,53.5256963,-113.296631,19,"AB","Alberta","Canada"
"Saskatoon",246376,854,52.131802,-106.660767,19,"SK","Saskatchewan","Canada"
"Edmonton",928182,854,53.5462055,-113.491241,19,"AB","Alberta","Canada"
"Bolingbrook",73922,856,41.7003302,-88.0717708,28,"IL","Illinois","US"
"Elgin",112603,856,42.03726,-88.2810994,28,"IL","Illinois","US"
"Naperville",149540,856,41.7728699,-88.1479278,28,"IL","Illinois","US"
"Aurora",180542,856,41.7571701,-88.3147539,28,"IL","Illinois","US"
"Mount Prospect",56852,857,42.0664167,-87.9372908,28,"IL","Illinois","US"
"Des Plaines",60675,857,42.0415823,-87.8873916,28,"IL","Illinois","US"
"Cicero",85268,857,41.8455398,-87.7540199,28,"IL","Illinois","US"
"Chicago",2746388,857,41.8755616,-87.6244212,28,"IL","Illinois","US"
"Surprise",143148,858,33.629247,-112.3681428,15,"AZ","Arizona","US"
"Euless",52016,859,32.8370727,-97.0819541,5,"TX","Texas","US"
"North Richland Hills",62306,859,32.8342952,-97.2289029,5,"TX","Texas","US"
"Flower Mound",75956,859,33.0283854,-97.0867203,5,"TX","Texas","US"
"Lewisville",104659,859,33.046233,-96.994174,5,"TX","Texas","US"
"Erie",97263,861,42.1294712,-80.0852695,18,"PA","Pennsylvania","US"
"Parker",58512,862,39.5184514,-104.7612638,3,"CO","Colorado","US"
"Aurora",386261,862,39.7405111,-104.830994,3,"CO","Colorado","US"
"Alpharetta",65799,863,34.0709576,-84.2747329,6,"GA","Georgia","US"
"Johns Creek",84350,863,34.0181557,-84.190196,6,"GA","Georgia","US"
"Roswell",94786,863,34.02332,-84.360022,6,"GA","Georgia","US"
"Sandy Springs",106739,863,33.9242688,-84.3785379,6,"GA","Georgia","US"
"Carson City",58639,864,39.1663259,-119.7670374,21,"NV","Nevada","US"
"Sparks",104246,864,39.5404679,-119.7487235,21,"NV","Nevada","US"
"Reno",271953,864,39.5261206,-119.8126581,21,"NV","Nevada","US"
"Redondo Beach",67346,865,33.8398289,-118.3845942,2,"CA","California","US"
"Hawthorne",84293,865,33.9128272,-118.3426122,2,"CA","California","US"
"Compton",96445,865,33.894927,-118.226624,2,"CA","California","US"
"Long Beach",469450,865,33.7690164,-118.191604,2,"CA","California","US"
"Pueblo",111876,866,38.263995,-104.6141867,3,"CO","Colorado","US"
"Colorado Springs",478961,866,38.8339578,-104.825348,3,"CO","Colorado","US"
"Greenville",70720,867,34.851354,-82.3984882,27,"SC","South Carolina","US"
"Asheville",72789,867,35.595363,-82.5508407,27,"NC","North Carolina","US"
"Eau Claire",69441,868,44.811349,-91.4984941,16,"WI","Wisconsin","US"
"Appleton",75644,868,44.2613967,-88.4069744,16,"WI","Wisconsin","US"
"Green Bay",107395,868,44.5126379,-88.0125794,16,"WI","Wisconsin","US"
"Kettering",54430,869,39.6895036,-84.1688274,31,"OH","Ohio","US"
"Springfield",62844,869,39.9234046,-83.810138,31,"OH","Ohio","US"
"Dayton",156771,869,39.7589478,-84.1916069,31,"OH","Ohio","US"
"Tallahassee",186411,871,30.4380832,-84.2809332,25,"FL","Florida","US"
"Plymouth",61217,872,41.9583799,-70.6673851,24,"MA","Massachusetts","US"
"Quincy",92271,872,42.2509914,-71.0037374,24,"MA","Massachusetts","US"
"New Bedford",92538,872,41.6362152,-70.934205,24,"MA","Massachusetts","US"
"Brockton",94191,872,42.0834335,-71.0183787,24,"MA","Massachusetts","US"
"Utica",65283,873,43.1009031,-75.2326641,9,"NY","New York","US"
"Syracuse",148620,873,43.0481221,-76.1474244,9,"NY","New York","US"
"Florissant",52533,875,38.7919683,-90.3227803,30,"MO","Missouri","US"
"Saint Peters",57289,875,38.791612,-90.5958468,30,"MO","Missouri","US"
"Saint Charles",70329,875,38.783855,-90.481677,30,"MO","Missouri","US"
"O’Fallon",94074,875,38.7902503,-90.7033292,30,"MO","Missouri","US"
"Las Cruces",111385,876,32.3140354,-106.779807,3,"NM","New Mexico","US"
"El Paso",678815,876,31.7601164,-106.4870404,3,"TX","Texas","US"
"Jacksonville",72723,878,34.7494749,-77.4208221,27,"NC","North Carolina","US"
"Wilmington",95944,878,34.2257282,-77.9447107,27,"NC","North Carolina","US"
"Fayetteville",205678,878,35.0525759,-78.878292,27,"NC","North Carolina","US"
"Stonecrest",54471,879,33.6831296,-84.1358505,6,"GA","Georgia","US"
"Athens",127064,879,33.9597677,-83.376398,6,"GA","Georgia","US"
"Vancouver",190915,920,45.6306954,-122.6744557,1,"WA","Washington","US"
"Lynchburg",79009,921,37.4137536,-79.1422464,8,"VA","Virginia","US"
"Roanoke",99837,921,37.270973,-79.9414313,8,"VA","Virginia","US"
"Queen Creek",59519,922,33.2483858,-111.634158,15,"AZ","Arizona","US"
"San Tan Valley",99894,922,33.1775233,-111.547892,15,"AZ","Arizona","US"
"Gilbert",267918,922,33.3527632,-111.789037,15,"AZ","Arizona","US"
"Chandler",275987,922,33.3062031,-111.841185,15,"AZ","Arizona","US"
"Oshkosh",66083,923,44.0206919,-88.5408574,16,"WI","Wisconsin","US"
"Manchester",55650,924,41.7834017,-72.5231973,9,"CT","Connecticut","US"
"Meriden",60868,924,41.5381535,-72.8070435,9,"CT","Connecticut","US"
"New Britain",73206,924,41.6612104,-72.7795419,9,"CT","Connecticut","US"
"Hartford",124060,924,41.764582,-72.6908547,9,"CT","Connecticut","US"
"Howell Township",57075,925,40.1413032,-74.2236618,29,"NJ","New Jersey","US"
"Middletown Township",66807,925,40.384263,-74.089879,29,"NJ","New Jersey","US"
"Lakewood Township",92843,925,40.0978929,-74.2176435,29,"NJ","New Jersey","US"
"Toms River",95438,925,39.9526791,-74.1968257,29,"NJ","New Jersey","US"
"Wilmington",72826,926,39.7459468,-75.546589,10,"DE","Delaware","US"
"Lake Charles",84872,927,30.2305095,-93.2169807,22,"LA","Louisiana","US"
"Beaumont",115282,927,30.0829344,-94.0984277,22,"TX","Texas","US"
"Lafayette",121324,927,30.2262187,-92.0178202,22,"LA","Louisiana","US"
"Baton Rouge",227470,927,30.4494155,-91.1869659,22,"LA","Louisiana","US"
"Newark",50383,928,40.0581205,-82.4012643,31,"OH","Ohio","US"
"Spring",54298,929,30.0795707,-95.4187924,34,"TX","Texas","US"
"Atascocita",88174,929,29.9990074,-95.1620137,34,"TX","Texas","US"
"Conroe",89956,929,30.3118769,-95.4560512,34,"TX","Texas","US"
"The Woodlands",93847,929,30.1734194,-95.504686,34,"TX","Texas","US"
"Missouri City",67358,930,29.6185669,-95.5377215,34,"TX","Texas","US"
"Sugar Land",79943,930,29.6196787,-95.6349463,34,"TX","Texas","US"
"Houston",2304580,930,29.7589382,-95.3676974,34,"TX","Texas","US"
"Allen",106874,931,33.1031744,-96.6705503,5,"TX","Texas","US"
"Denton",109561,931,33.2150386,-97.1330516,5,"TX","Texas","US"
"McKinney",202690,931,33.1976496,-96.6154471,5,"TX","Texas","US"
"Frisco",210719,931,33.1505998,-96.8238183,5,"TX","Texas","US"
"Waterloo",67314,932,42.498275,-92.3328743,4,"IA","Iowa","US"
"Iowa City",74828,932,41.6612561,-91.5299106,4,"IA","Iowa","US"
"Davenport",101724,932,41.5235808,-90.5770967,4,"IA","Iowa","US"
"Cedar Rapids",137710,932,41.9758872,-91.6704053,4,"IA","Iowa","US"
"Normal",52497,934,40.5092961,-88.9843937,30,"IL","Illinois","US"
"Bloomington",76610,934,40.4797828,-88.9939147,30,"IL","Illinois","US"
"Peoria",113150,934,40.6938609,-89.5891008,30,"IL","Illinois","US"
"Grand Junction",65560,935,39.0672568,-108.56448,3,"CO","Colorado","US"
"Arvada",109745,935,39.8005505,-105.0811573,3,"CO","Colorado","US"
"Lakewood",140024,935,39.7085736,-105.0846694,3,"CO","Colorado","US"
"Denver",715522,935,39.7392364,-104.984862,3,"CO","Colorado","US"
"Casa Grande",55653,936,32.8772834,-111.7536818,15,"AZ","Arizona","US"
"Maricopa",62720,936,33.058129,-112.047755,15,"AZ","Arizona","US"
"Yuma",93064,936,32.723268,-114.6179954,15,"AZ","Arizona","US"
"Lake Havasu City",57144,937,34.4775296,-114.3379972,15,"AZ","Arizona","US"
"Flagstaff",76831,937,35.1987522,-111.651822,15,"AZ","Arizona","US"
"Smyrna",53070,938,35.9824598,-86.5199492,20,"TN","Tennessee","US"
"Franklin",83454,938,35.925206,-86.8689419,20,"TN","Tennessee","US"
"Murfreesboro",126118,938,35.8460396,-86.3921096,20,"TN","Tennessee","US"
"San Rafael",58704,939,37.9747795,-122.5316686,21,"CA","California","US"
"Napa",80434,939,38.2971367,-122.2855293,21,"CA","California","US"
"Vallejo",121692,939,38.1040864,-122.2566367,21,"CA","California","US"
"Santa Rosa",174972,939,38.4404925,-122.7141049,21,"CA","California","US"
"Davis",66850,940,38.5435526,-121.739005,21,"CA","California","US"
"Sacramento",490712,940,38.5810606,-121.493895,21,"CA","California","US"
"Anderson",57496,941,40.1053196,-85.6802541,7,"IN","Indiana","US"
"Noblesville",69604,941,40.0455918,-86.0085955,7,"IN","Indiana","US"
"Fishers",98977,941,39.9555928,-86.0138729,7,"IN","Indiana","US"
"Fort Wayne",248637,941,41.0799898,-85.1386015,7,"IN","Indiana","US"
"North Bay",51553,942,46.3092115,-79.4607617,32,"ON","Ontario","Canada"
"Kingston",123363,942,44.230687,-76.481323,32,"ON","Ontario","Canada"
"Gatineau",276245,942,45.4277659,-75.710976,32,"QC","Québec","Canada"
"Ottawa",934243,942,45.4208777,-75.6901106,32,"ON","Ontario","Canada"
"Battle Creek",52777,944,42.3192548,-85.1824269,7,"MI","Michigan","US"
"Kalamazoo",72161,944,42.291707,-85.5872286,7,"MI","Michigan","US"
"Lansing",112644,944,42.7338254,-84.5546295,7,"MI","Michigan","US"
"Rochester Hills",76300,945,42.6583661,-83.1499322,7,"MI","Michigan","US"
"Flint",79865,945,43.0161693,-83.6900211,7,"MI","Michigan","US"
"Clinton Charter Township",100513,945,42.5869782,-82.9200047,7,"MI","Michigan","US"
"Sterling Heights",134346,945,42.5803122,-83.0302033,7,"MI","Michigan","US"
"Dale City",72088,946,38.645601,-77.3364973,10,"VA","Virginia","US"
"Stafford",139992,946,38.4222681,-77.4084067,10,"VA","Virginia","US"
"Gaithersburg",69657,947,39.1399187,-77.1929215,10,"MD","Maryland","US"
"Frederick",72237,947,39.415779,-77.4127562,10,"MD","Maryland","US"
"Germantown",91249,947,39.181334,-77.266647,10,"MD","Maryland","US"
"Bethlehem",75624,948,40.6178915,-75.3786521,18,"PA","Pennsylvania","US"
"Reading",88082,948,40.335345,-75.9279495,18,"PA","Pennsylvania","US"
"Allentown",120443,948,40.6022059,-75.4712794,18,"PA","Pennsylvania","US"
"Bayonne",58844,949,40.6687141,-74.1143091,11,"NJ","New Jersey","US"
"East Orange",67247,949,40.7642404,-74.215011,11,"NJ","New Jersey","US"
"Jersey City",292449,949,40.7215682,-74.047455,11,"NJ","New Jersey","US"
"Newark",311549,949,40.735657,-74.1723667,11,"NJ","New Jersey","US"
"Irondequoit",51043,951,43.2133955,-77.5797226,9,"NY","New York","US"
"Rochester",211328,951,43.157285,-77.615214,9,"NY","New York","US"
"Framingham",68318,952,42.2773177,-71.4165905,24,"MA","Massachusetts","US"
"Worcester",206518,952,42.2625621,-71.8018877,24,"MA","Massachusetts","US"
"Layton",81773,953,41.0751048,-111.9741925,23,"UT","Utah","US"
"Ogden",87321,953,41.2230048,-111.9738429,23,"UT","Utah","US"
"West Valley City",140230,953,40.6967891,-111.9866954,23,"UT","Utah","US"
"Salt Lake City",200133,953,40.7596198,-111.886797,23,"UT","Utah","US"
"Concord",109896,954,35.4094178,-80.5800049,27,"NC","North Carolina","US"
"Charlotte",751087,954,35.2272086,-80.8430827,27,"NC","North Carolina","US"
"Riverview",71050,955,27.871197,-82.3269883,12,"FL","Florida","US"
"Lakeland",108054,955,28.0394654,-81.9498042,12,"FL","Florida","US"
"Brandon",114626,955,27.937801,-82.2859247,12,"FL","Florida","US"
"Kissimmee",79226,956,28.2918995,-81.4075838,25,"FL","Florida","US"
"Alafaya",92452,956,28.5667957,-81.2076407,25,"FL","Florida","US"
"Orlando",307573,956,28.5421109,-81.3790304,25,"FL","Florida","US"
"Midwest City",55161,957,35.4495097,-97.3967025,22,"OK","Oklahoma","US"
"Edmond",76644,957,35.6571367,-97.4649038,22,"OK","Oklahoma","US"
"Oklahoma City",681054,957,35.4729886,-97.5170536,22,"OK","Oklahoma","US"
"Sammamish",67455,958,47.6017554,-122.0416844,33,"WA","Washington","US"
"Redmond",73256,958,47.6694141,-122.1238767,33,"WA","Washington","US"
"Kirkland",92175,958,47.6765382,-122.2070775,33,"WA","Washington","US"
"Bellevue",151854,958,47.6144219,-122.192337,33,"WA","Washington","US"
"San Marcos",94833,959,33.1352995,-117.1743395,2,"CA","California","US"
"Carlsbad",114746,959,33.1580933,-117.3505966,2,"CA","California","US"
"Escondido",151038,959,33.1216751,-117.0814849,2,"CA","California","US"
"Oceanside",174068,959,33.1958696,-117.379483,2,"CA","California","US"
"Rocky Mount",54341,961,35.9423833,-77.7956949,8,"NC","North Carolina","US"
"Greenville",87521,961,35.613224,-77.3724593,8,"NC","North Carolina","US"
